Campname,Outcomes Dropdown,Total PPE
GOLDEN RULE DESOTO,0.56,11588.40598
GATEWAY CHARTER ACADEMY - MIDDLE -,0.35,9331.30146
FORT WORTH CAN ACADEMY WESTCREEK,0.18,11446.32033
FORT WORTH ACADEMY OF FINE ARTS EL,0.64,9052.744001
FORT WORTH ACADEMY OF FINE ARTS,0.72,8598.901687
FALLBROOK ACADEMY,0.4,11432.30724
EXCELLENCE IN LEADERSHIP ACADEMY,0.34,11217.8843
EVOLUTION ACADEMY HOUSTON,0.14,6550.724087
EVOLUTION ACADEMY CHARTER SCHOOL,0.21,7463.513481
EMPOWERMENT H S,0.31,10807.92232
ELITE STEM PRI ACADEMY,0.39,10829.36237
ELEANOR KOLITZ HEBREW LANGUAGE ACA,0.68,7584.851632
EL PASO LEADERSHIP ACADEMY,0.43,10523.57971
